report_id,customer_id,fico_score,cb_person_default_on_file,total_open_credit_lines,revolving_utilization_pct,derogatory_public_records,past_due_30_59_days_count,past_due_60_89_days_count,past_due_90_plus_days_count,report_date
CBR-000001,CUST-000001,695,N,6,36.32,0,0,0,0,2023-04-05
CBR-000002,CUST-000002,700,N,13,51.91,0,0,0,0,2022-11-18
CBR-000003,CUST-000003,607,N,12,34.58,0,0,0,0,2022-05-09
CBR-000004,CUST-000004,612,N,7,32.36,0,0,0,0,2022-12-21
CBR-000005,CUST-000005,621,N,9,12.03,0,0,0,0,2022-11-11
CBR-000006,CUST-000006,588,N,6,18.35,0,2,0,0,2022-05-26
CBR-000007,CUST-000007,520,N,8,16.50,0,0,0,0,2022-06-02
CBR-000008,CUST-000008,664,N,7,68.51,0,0,0,0,2023-02-22
CBR-000009,CUST-000009,639,N,4,30.89,0,0,0,0,2023-03-02
CBR-000010,CUST-000010,647,N,7,31.75,0,0,0,0,2023-01-29
CBR-000011,CUST-000011,599,Y,11,14.58,0,2,0,0,2022-06-09
CBR-000012,CUST-000012,726,N,8,28.37,0,0,0,0,2023-01-17
CBR-000013,CUST-000013,839,N,7,24.90,0,0,0,0,2023-03-07
CBR-000014,CUST-000014,611,Y,10,30.78,3,2,0,0,2023-03-07
CBR-000015,CUST-000015,767,N,8,30.54,0,0,0,0,2022-12-26
CBR-000016,CUST-000016,695,Y,6,44.28,0,0,0,0,2022-08-11
CBR-000017,CUST-000017,672,N,4,24.03,0,0,0,0,2022-08-06
CBR-000018,CUST-000018,645,N,7,16.44,0,0,0,0,2023-04-14
CBR-000019,CUST-000019,664,N,12,14.31,0,0,0,0,2022-06-16
CBR-000020,CUST-000020,750,Y,10,52.66,0,0,0,0,2022-06-08
CBR-000021,CUST-000021,590,N,11,49.62,0,2,1,0,2023-02-06
CBR-000022,CUST-000022,650,N,16,35.77,0,0,0,0,2022-08-31
CBR-000023,CUST-000023,757,N,5,25.98,0,0,0,0,2022-09-27
CBR-000024,CUST-000024,738,N,7,37.89,0,0,0,0,2022-11-23
CBR-000025,CUST-000025,591,Y,11,70.14,0,0,0,0,2022-12-09
CBR-000026,CUST-000026,657,N,10,60.63,0,0,0,0,2022-03-07
CBR-000027,CUST-000027,720,N,8,64.93,0,0,0,0,2023-04-27
CBR-000028,CUST-000028,716,N,11,7.05,0,0,0,0,2022-09-30
CBR-000029,CUST-000029,738,N,9,70.63,0,0,0,0,2023-04-08
CBR-000030,CUST-000030,696,N,6,25.71,0,0,0,0,2022-05-23
CBR-000031,CUST-000031,708,N,9,67.58,0,0,0,0,2022-06-29
CBR-000032,CUST-000032,693,N,7,28.33,0,1,0,0,2022-11-26
CBR-000033,CUST-000033,780,N,9,16.26,0,0,0,0,2022-11-06
CBR-000034,CUST-000034,640,N,6,67.75,0,2,0,0,2022-12-27
CBR-000035,CUST-000035,673,N,8,44.34,0,0,0,0,2023-04-19
CBR-000036,CUST-000036,598,Y,3,63.33,0,0,0,0,2022-08-30
CBR-000037,CUST-000037,585,N,4,31.25,0,1,1,0,2022-09-29
CBR-000038,CUST-000038,692,Y,4,71.56,0,0,0,0,2022-10-08
CBR-000039,CUST-000039,619,N,6,57.04,0,1,0,0,2022-06-15
CBR-000040,CUST-000040,665,N,8,34.65,0,0,0,0,2022-09-16
CBR-000041,CUST-000041,783,N,8,56.96,0,0,0,0,2022-06-15
CBR-000042,CUST-000042,779,N,7,19.49,0,0,0,0,2022-11-28
CBR-000043,CUST-000043,825,N,5,35.38,0,0,0,0,2023-05-10
CBR-000044,CUST-000044,784,N,7,14.55,0,0,0,0,2023-04-17
CBR-000045,CUST-000045,838,N,9,37.62,0,0,0,0,2022-11-04
CBR-000046,CUST-000046,700,N,8,33.14,0,0,0,0,2022-10-11
CBR-000047,CUST-000047,606,Y,6,32.15,0,1,2,0,2022-07-31
CBR-000048,CUST-000048,599,Y,5,11.38,0,2,0,0,2023-03-02
