loan_id,customer_id,loan_amount,loan_intent,interest_rate,loan_term_months,grade,dti_ratio,loan_status,application_date
LOAN-000001,CUST-000001,"$7,030.62",EDUCATION,12.36,24,C,0.3649,Late (16-30 days),2023-01-02
LOAN-000002,CUST-000002,"$26,682.36",EDUCATION,12.30,60,C,0.2606,Current,2022-11-07
LOAN-000003,CUST-000003,"$3,573.76",HOMEIMPROVEMENT,12.99,36,C,0.1688,Late (16-30 days),2022-03-29
LOAN-000004,CUST-000004,"$6,282.03",HOMEIMPROVEMENT,13.61,12,C,0.3308,Fully Paid,2023-02-14
LOAN-000005,CUST-000005,"$3,245.50",DEBTCONSOLIDATION,12.35,36,C,0.1310,Fully Paid,2022-11-17
LOAN-000006,CUST-000006,"$24,838.95",PERSONAL,16.13,36,D,0.2280,Late (31-120 days),2022-04-04
LOAN-000007,CUST-000007,"$15,371.52",DEBTCONSOLIDATION,14.86,24,D,0.1871,Charged Off / Default,2022-05-06
LOAN-000008,CUST-000008,"$7,311.14",MEDICAL,11.79,24,C,0.2037,Current,2022-12-30
LOAN-000009,CUST-000009,"$22,223.08",MEDICAL,12.89,36,C,0.1565,Late (31-120 days),2023-02-10
LOAN-000010,CUST-000009,"$38,729.19",EDUCATION,13.97,60,C,0.3241,Fully Paid,2022-11-07
LOAN-000011,CUST-000010,"$11,037.13",EDUCATION,14.84,36,D,0.1909,Fully Paid,2023-01-17
LOAN-000012,CUST-000010,"$9,681.32",HOMEIMPROVEMENT,15.03,12,D,0.3995,Current,2023-02-10
LOAN-000013,CUST-000011,"$7,187.03",HOMEIMPROVEMENT,15.31,60,D,0.2978,Late (31-120 days),2022-05-28
LOAN-000014,CUST-000011,"$2,202.64",MEDICAL,14.72,36,D,0.2185,Fully Paid,2022-04-27
LOAN-000015,CUST-000012,"$10,282.62",MEDICAL,9.81,48,B,0.2359,Current,2022-12-03
LOAN-000016,CUST-000013,"$10,858.13",PERSONAL,7.61,24,A,0.3493,Current,2023-01-28
LOAN-000017,CUST-000014,"$11,546.24",MEDICAL,12.75,60,C,0.1665,Fully Paid,2023-04-19
LOAN-000018,CUST-000014,"$11,605.46",DEBTCONSOLIDATION,12.97,36,C,0.3197,Late (31-120 days),2023-03-29
LOAN-000019,CUST-000015,"$16,893.44",EDUCATION,8.82,36,B,0.2709,Fully Paid,2022-09-19
LOAN-000020,CUST-000015,"$17,770.63",MEDICAL,7.02,48,A,0.1841,Current,2022-08-24
LOAN-000021,CUST-000016,"$12,742.41",EDUCATION,9.46,12,B,0.3211,Current,2022-09-14
LOAN-000022,CUST-000016,"$22,410.59",DEBTCONSOLIDATION,11.38,12,B,0.5844,Fully Paid,2022-09-06
LOAN-000023,CUST-000017,"$10,397.91",VENTURE,11.88,48,C,0.2673,Current,2022-08-28
LOAN-000024,CUST-000017,"$4,781.96",VENTURE,13.21,48,C,0.1199,Current,2022-08-07
LOAN-000025,CUST-000018,"$3,423.76",EDUCATION,12.57,36,C,0.1496,Current,2023-01-30
LOAN-000026,CUST-000019,"$10,387.72",PERSONAL,11.67,60,C,0.1770,Fully Paid,2022-03-24
LOAN-000027,CUST-000020,"$15,367.01",MEDICAL,8.61,36,B,0.1949,Fully Paid,2022-05-18
LOAN-000028,CUST-000020,"$2,080.88",VENTURE,8.31,24,A,0.1555,Fully Paid,2022-05-25
LOAN-000029,CUST-000021,"$4,130.07",EDUCATION,15.08,24,D,0.3058,Current,2022-11-05
LOAN-000030,CUST-000021,"$3,651.83",HOMEIMPROVEMENT,13.84,60,C,0.1188,Late (31-120 days),2022-12-27
LOAN-000031,CUST-000022,"$3,122.29",PERSONAL,12.34,48,C,0.2246,Current,2022-08-16
LOAN-000032,CUST-000022,"$9,248.83",DEBTCONSOLIDATION,11.50,48,C,0.2900,Current,2022-07-11
LOAN-000033,CUST-000023,"$7,643.44",DEBTCONSOLIDATION,6.76,12,A,0.3452,Current,2022-09-30
LOAN-000034,CUST-000024,"$16,882.67",DEBTCONSOLIDATION,9.54,48,B,0.1955,Current,2022-11-07
LOAN-000035,CUST-000024,"$16,458.15",VENTURE,9.36,60,B,0.3286,Late (16-30 days),2022-10-21
LOAN-000036,CUST-000025,"$14,372.28",HOMEIMPROVEMENT,15.78,36,D,0.2104,Late (31-120 days),2022-08-28
LOAN-000037,CUST-000026,"$10,092.06",EDUCATION,13.67,48,C,0.1945,Current,2022-04-23
LOAN-000038,CUST-000026,"$17,856.62",HOMEIMPROVEMENT,14.20,36,C,0.1781,Fully Paid,2022-02-07
LOAN-000039,CUST-000027,"$9,455.32",MEDICAL,9.13,12,B,0.1991,Fully Paid,2023-02-26
LOAN-000040,CUST-000027,"$29,126.20",HOMEIMPROVEMENT,11.20,60,B,0.2940,Fully Paid,2022-12-16
