loan_id,payment_number,scheduled_payment_date,actual_payment_date,amount_due,amount_paid,days_late,payment_status
LOAN-000001,1,2023-02-02,2023-02-02,$329.15,$329.15,0,ON_TIME
LOAN-000001,2,2023-03-02,2023-03-26,$329.15,$329.15,24,LATE_1_30
LOAN-000001,3,2023-04-02,2023-04-01,$329.15,$329.15,0,ON_TIME
LOAN-000001,4,2023-05-02,2023-05-02,$329.15,$329.15,0,ON_TIME
LOAN-000001,5,2023-06-02,2023-06-02,$329.15,$329.15,0,ON_TIME
LOAN-000001,6,2023-07-02,2023-07-01,$329.15,$329.15,0,ON_TIME
LOAN-000001,7,2023-08-02,2023-09-24,$329.15,$269.02,53,LATE_31_90
LOAN-000001,8,2023-09-02,2023-08-31,$329.15,$329.15,0,ON_TIME
LOAN-000001,9,2023-10-02,2023-10-02,$329.15,$329.15,0,ON_TIME
LOAN-000001,10,2023-11-02,2023-11-02,$329.15,$329.15,0,ON_TIME
LOAN-000001,11,2023-12-02,2023-11-30,$329.15,$329.15,0,ON_TIME
LOAN-000001,12,2024-01-02,2023-12-31,$329.15,$329.15,0,ON_TIME
LOAN-000002,1,2022-12-07,2022-12-06,$499.40,$499.40,0,ON_TIME
LOAN-000002,2,2023-01-07,2023-03-27,$499.40,$337.87,79,LATE_31_90
LOAN-000002,3,2023-02-07,2023-02-07,$499.40,$499.40,0,ON_TIME
LOAN-000002,4,2023-03-07,2023-03-05,$499.40,$499.40,0,ON_TIME
LOAN-000002,5,2023-04-07,2023-04-05,$499.40,$499.40,0,ON_TIME
LOAN-000002,6,2023-05-07,2023-05-07,$499.40,$499.40,0,ON_TIME
LOAN-000002,7,2023-06-07,2023-06-06,$499.40,$499.40,0,ON_TIME
LOAN-000002,8,2023-07-07,2023-07-25,$499.40,$499.40,18,LATE_1_30
LOAN-000002,9,2023-08-07,2023-08-06,$499.40,$499.40,0,ON_TIME
LOAN-000002,10,2023-09-07,2023-09-06,$499.40,$499.40,0,ON_TIME
LOAN-000002,11,2023-10-07,2023-10-07,$499.40,$499.40,0,ON_TIME
LOAN-000002,12,2023-11-07,2023-11-05,$499.40,$499.40,0,ON_TIME
LOAN-000003,1,2022-04-29,2022-04-28,$112.17,$112.17,0,ON_TIME
LOAN-000003,2,2022-05-29,2022-05-29,$112.17,$112.17,0,ON_TIME
LOAN-000003,3,2022-06-29,2022-06-29,$112.17,$112.17,0,ON_TIME
LOAN-000003,4,2022-07-29,2022-07-27,$112.17,$112.17,0,ON_TIME
LOAN-000003,5,2022-08-29,2022-08-27,$112.17,$112.17,0,ON_TIME
LOAN-000003,6,2022-09-29,2022-11-25,$112.17,$34.01,57,LATE_31_90
LOAN-000003,7,2022-10-29,2022-10-29,$112.17,$112.17,0,ON_TIME
LOAN-000003,8,2022-11-29,2023-02-20,$112.17,$54.32,83,LATE_31_90
LOAN-000003,9,2022-12-29,2023-03-27,$112.17,$44.99,88,LATE_31_90
LOAN-000003,10,2023-01-29,2023-01-29,$112.17,$112.17,0,ON_TIME
